HISTAMINOTRANS-RXN	9.30915910357772400d-2	L-histidinol phosphate + 2-oxoglutarate  <-->  3-(imidazol-4-yl)-2-oxopropyl phosphate + L-glutamate
RXN-16998	1.020864691506784000d-2	alpha-glucose 1,6-bisphosphate + a phosphoglucomutase  <-->  D-glucopyranose 6-phosphate + a phosphorylated phosphoglucomutase
RXN1ZN3-9	8.77634707278872200000d-5	(7R,8S)-diaminononanoate + CO2  ->  (7R,8S)-8-amino-7-(carboxyamino)nonanoate + 2 H+
QUINOPRIBOTRANS-RXN	3.5105388291152950000d-4	5-phospho-alpha-D-ribose 1-diphosphate + quinolinate + 2 H+  ->  beta-nicotinate D-ribonucleotide + CO2 + diphosphate
RXN0-7247	10.    	an aldehyde[periplasm]  <-->  an aldehyde[extracellular space]
3-ISOPROPYLMALDEHYDROG-RXN	0.2902276542541721    	(2R,3S)-3-isopropylmalate + NAD+  ->  (2S)-2-isopropyl-3-oxosuccinate + NADH + H+
BRANCHED-CHAINAMINOTRANSFERLEU-RXN	0.2902276542541721    	L-leucine + 2-oxoglutarate  <-->  4-methyl-2-oxopentanoate + L-glutamate
TETRAACYLDISACC4KIN-RXN	1.4990000800323140000d-3	lipid A disaccharide (E. coli) + ATP  ->  lipid IVA (E. coli) + ADP + H+
ISPH2-RXN	2.426659965626081200d-2	(E)-4-hydroxy-3-methylbut-2-en-1-yl diphosphate + 2 a reduced ferredoxin [iron-sulfur] cluster + 2 H+  ->  isopentenyl diphosphate + 2 an oxidized ferredoxin [iron-sulfur] cluster + H2O
RXN0-4341	5.996000320129256000d-3	D-glycero-D-manno-heptose 7-phosphate + ATP  ->  D-glycero-beta-D-manno-heptose 1,7-bisphosphate + ADP + H+
SULFATE-ADENYLYLTRANS-RXN	0.23685342189629982    	sulfate + ATP + H+  ->  adenosine 5'-phosphosulfate + diphosphate
RIBOFLAVINSYNDEAM-RXN	2.63290412183661670000d-4	2,5-diamino-6-(5-phospho-D-ribosylamino)pyrimidin-4(3H)-one + H+ + H2O  ->  5-amino-6-(5-phospho-D-ribosylamino)uracil + ammonium
TRANS-RXN-145	41.71939299530136    	H2O[periplasm]  <-->  H2O[cytosol]
RIBULP3EPIM-RXN	0.547083833853871    	D-ribulose 5-phosphate  <-->  D-xylulose 5-phosphate
RXN0-5121	1.4990000800323140000d-3	glucosyl-(heptosyl)2-Kdo2-lipid A + ATP  ->  glucosyl-(heptosyl)2-Kdo2-lipid A-phosphate + ADP + H+
3PGAREARR-RXN	16.838274744933276    	2-phospho-D-glycerate  <-->  3-phospho-D-glycerate
UDPGLUCEPIM-RXN	1.4990000800323140000d-3	UDP-alpha-D-glucose  <-->  UDP-alpha-D-galactose
METHENYLTHFCYCLOHYDRO-RXN	0.5667703505177489    	a 5,10-methenyltetrahydrofolate + H2O  <-->  an N10-formyltetrahydrofolate + H+
DHBAMPLIG-RXN	2.63290412183661670000d-4	ATP + 2,3-dihydroxybenzoate + H+  ->  (2,3-dihydroxybenzoyl)adenylate + diphosphate
TRANS-RXN0-500	8.77634707278872200000d-5	4-methylphenol[cytosol]  ->  4-methylphenol[periplasm]
NACGLCTRANS-RXN	2.1984749417335744000d-3	undecaprenyldiphospho-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine + UDP-N-acetyl-alpha-D-glucosamine  <-->  ditrans,octacis-undecaprenyldiphospho-[(N-acetyl-beta-D-glucosaminyl)-(1,4)-]-N-acetyl-alpha-D-muramoyl-L-alanyl-gamma-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine + UDP + H+
UROGENIIISYN-RXN	2.63290412183661670000d-4	preuroporphyrinogen  ->  uroporphyrinogen-III + H2O
RXN-9310	1.75526941455774440000d-4	2-succinyl-5-enolpyruvoyl-6-hydroxy-3-cyclohexene-1-carboxylate  ->  (1R,6R)-6-hydroxy-2-succinylcyclohexa-2,4-diene-1-carboxylate + pyruvate
ACETOOHBUTSYN-RXN	0.25737164371777294    	pyruvate + 2-oxobutanoate + H+  ->  (S)-2-aceto-2-hydroxybutanoate + CO2
RXN-12002	0.1653885053172889    	ATP + UMP  ->  ADP + UDP
ADCLY-RXN	3.51053882911534550000d-4	4-amino-4-deoxychorismate  ->  4-aminobenzoate + pyruvate + H+
ORNDECARBOX-RXN	2.44272068076928500d-2	L-ornithine + H+  ->  CO2 + putrescine
AICARTRANSFORM-RXN	0.3298432073060352    	an N10-formyltetrahydrofolate + 5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide  <-->  a tetrahydrofolate + 5-formamido-1-(5-phospho-D-ribosyl)-imidazole-4-carboxamide
ETHAMLY-RXN	8.946608206000822000d-3	ethanolamine  ->  ammonium + acetaldehyde
ADENPRIBOSYLTRAN-RXN	6.15379904049799600d-2	5-phospho-alpha-D-ribose 1-diphosphate + adenine  ->  AMP + diphosphate
RXN0-5461	5.52023454531337700d-2	autoinducer 2 + ATP  ->  (2S)-2-hydroxy-3,4-dioxopentyl phosphate + ADP + H+
RXN0-2382	6.02355804993781000d-2	indole + L-serine  ->  L-tryptophan + H2O
GTP-CYCLOHYDRO-I-RXN	3.51053882911534550000d-4	GTP + H2O  ->  formate + 7,8-dihydroneopterin 3'-triphosphate + H+
RXN0-6368	3.51053882911534550000d-4	7,8-dihydromonapterin triphosphate + 3 H2O  ->  D-threo-7,8-dihydroneopterin + 3 phosphate + 2 H+
GUANYL-KIN-RXN	0.12909567726718563    	GMP + ATP  <-->  GDP + ADP
RXN-14014	0.3198065767935919    	(2S,4S)-4-hydroxy-2,3,4,5-tetrahydrodipicolinate + NAD(P)H + H+  ->  (S)-2,3,4,5-tetrahydrodipicolinate + NAD(P)+ + H2O
ASPCARBTRANS-RXN	0.1755743337299675    	L-aspartate + carbamoyl phosphate  ->  N-carbamoyl-L-aspartate + phosphate + H+
HISTPRATPHYD-RXN	9.30915910357772400d-2	1-(5-phospho-beta-D-ribosyl)-ATP + H2O  ->  1-(5-phospho-beta-D-ribosyl)-AMP + diphosphate + H+
TRANS-RXN0-461	5.896827598206742000d-3	5-(methylsulfanyl)-D-ribose[cytosol]  ->  5-(methylsulfanyl)-D-ribose[periplasm]
PYRIMSYN3-RXN	8.77634707278872200000d-5	4-amino-2-methyl-5-(phosphooxymethyl)pyrimidine + ATP  ->  4-amino-2-methyl-5-(diphosphooxymethyl)pyrimidine + ADP
ISOCIT-CLEAV-RXN	5.158569181156118    	D-threo-isocitrate  <-->  glyoxylate + succinate
IMPCYCLOHYDROLASE-RXN	0.3298432073060352    	IMP + H2O  <-->  5-formamido-1-(5-phospho-D-ribosyl)-imidazole-4-carboxamide
SHIKIMATE-KINASE-RXN	0.4007130875535092    	shikimate + ATP  ->  shikimate 3-phosphate + ADP + H+
CHORISMATE-SYNTHASE-RXN	0.4007130875535092    	5-enolpyruvoyl-shikimate 3-phosphate  ->  chorismate + phosphate
CARDIOLIPSYN-RXN	3.6351629575490885000d-3	2 an L-1-phosphatidyl-sn-glycerol  ->  a cardiolipin + glycerol
KDOTRANS2-RXN	1.4990000800323140000d-3	alpha-Kdo-(2->6)-lipid IVA (E. coli) + CMP-3-deoxy-beta-D-manno-octulosonate  ->  alpha-Kdo-(2->4)-alpha-Kdo-(2->6)-lipid IVA (E. coli) + CMP + H+
RXN-21527	2.63290412183661670000d-4	a holo [hydroxymethylbilane synthase] ES intermediate + porphobilinogen  ->  a [hydroxymethylbilane synthase] ES2 intermediate + ammonium
TRANS-RXN0-600	22.611318199643918    	an inorganic compound[periplasm]  <-->  an inorganic compound[extracellular space]
RXN0-5118	1.4990000800323140000d-3	alpha-D-Kdo-(2->4)-alpha-D-Kdo-(2->6)-lipid A (E. coli) + ADP-L-glycero-beta-D-manno-heptose  ->  heptosyl-Kdo2-lipid A + ADP + H+
RIBONUCLEOSIDE-DIP-REDUCTI-RXN	4.25450977047578800d-2	a reduced thioredoxin + a ribonucleoside diphosphate  ->  an oxidized thioredoxin + a 2'-deoxyribonucleoside 5'-diphosphate + H2O
RXN-11476	8.77634707278872200000d-5	a 3-oxoglutaryl-[acp] methyl ester + NADPH + H+  ->  a (3R)-3-hydroxyglutaryl-[acp] methyl ester + NADP+
DCDPKIN-RXN	1.433089713515670300d-2	dCDP + ATP  ->  dCTP + ADP
RXN-17018	0.10961657493913113    	a palmitoyl-[acp] + sn-glycerol 3-phosphate  ->  1-palmitoyl-sn-glycerol 3-phosphate + acyl-carrier protein
RXN-11484	8.77634707278872200000d-5	a pimeloyl-[acp] + L-alanine + H+  ->  (8S)-8-amino-7-oxononanoate + CO2 + acyl-carrier protein
RXN-9524	0.28488724706038016    	a 3-oxooctanoyl-[acp] + NADPH + H+  ->  a (3R)-3-hydroxyoctanoyl-[acp] + NADP+
DGDPKIN-RXN	1.433089713515670300d-2	dGDP + ATP  ->  dGTP + ADP
N-ACETYLGLUTPREDUCT-RXN	0.28727529109888594    	N-acetyl-L-glutamate 5-semialdehyde + NADP+ + phosphate  <-->  N-acetylglutamyl-phosphate + NADPH + H+
UDPNACETYLMURAMATEDEHYDROG-RXN	2.1984749417335744000d-3	UDP-N-acetyl-alpha-D-glucosamine-enolpyruvate + NADPH + H+  ->  UDP-N-acetyl-alpha-D-muramate + NADP+
RXN-8999	2.2862384124614615000d-3	(2E,6E)-farnesyl diphosphate + 8 isopentenyl diphosphate  ->  di-trans,octa-cis-undecaprenyl diphosphate + 8 diphosphate
THIAZOLSYN2-RXN	8.77634707278872200000d-5	1-deoxy-D-xylulose 5-phosphate + 2-iminoacetate + a thiocarboxylated-[ThiS sulfur-carrier protein]  ->  2-[(2R,5Z)-2-carboxy-4-methylthiazol-5(2H)-ylidene]ethyl phosphate + a [ThiS sulfur-carrier protein] + 2 H2O
GLUC1PURIDYLTRANS-RXN	5.996000320129256000d-3	alpha-D-glucopyranose 1-phosphate + UTP + H+  <-->  UDP-alpha-D-glucose + diphosphate
NICONUCADENYLYLTRAN-RXN	3.5105388291152950000d-4	ATP + beta-nicotinate D-ribonucleotide + H+  ->  nicotinate adenine dinucleotide + diphosphate
TRANS-RXN-8	2.63290412183661670000d-4	Fe2+[periplasm]  ->  Fe2+[cytosol]
ACETYLORNTRANSAM-RXN	0.28727529109888594    	N-acetyl-L-glutamate 5-semialdehyde + L-glutamate  ->  N-acetyl-L-ornithine + 2-oxoglutarate
GLUTAMINESYN-RXN	0.8518734957161198    	ammonium + L-glutamate + ATP  ->  L-glutamine + ADP + phosphate + H+
