RXN0-4342	3.4160000000227340000d-4	D-glycero-beta-D-manno-heptose 1-phosphate + ATP + H+  ->  ADP-D-glycero-beta-D-manno-heptose + diphosphate
PYRUVFORMLY-RXN	0.945864386582854    	pyruvate + coenzyme A  ->  formate + acetyl-CoA
UROGENIIISYN-RXN	1.500000000320689000000d-5	preuroporphyrinogen  ->  uroporphyrinogen-III + H2O
DAHPSYN-RXN	2.28291500001553300d-2	phosphoenolpyruvate + D-erythrose 4-phosphate + H2O  ->  3-deoxy-D-arabino-heptulosonate 7-phosphate + phosphate
RXN0-5114	5.065805000038496000d-2	O-phospho-L-serine + H2O  ->  L-serine + phosphate
RXN0-5061	8.54000000005683500000d-5	heptosyl-Kdo2-lipid A + ADP-L-glycero-beta-D-manno-heptose  ->  (heptosyl)2-Kdo2-lipid A + ADP + H+
RIB5PISOM-RXN	3.096728333189157000d-2	D-ribose 5-phosphate  <-->  D-ribulose 5-phosphate
R15-RXN	0.11695639999549856    	L-methionine + a 2-oxo carboxylate  <-->  4-(methylsulfanyl)-2-oxobutanoate + a proteinogenic amino acid
VALINE-PYRUVATE-AMINOTRANSFER-RXN	3.4054000000185497d-2	pyruvate + L-valine  <-->  L-alanine + 3-methyl-2-oxobutanoate
RXN0-5123	8.54000000005683500000d-5	glucosyl-(heptosyl)3-Kdo2-lipid A-phosphate + ATP  ->  glucosyl-(heptosyl)3-Kdo2-lipid A-bisphosphate + ADP + H+
DIOHBUTANONEPSYN-RXN	3.00000000095224040000d-5	D-ribulose 5-phosphate  ->  1-deoxy-L-glycero-tetrulose 4-phosphate + formate + H+
RIBOPHOSPHAT-RXN	1.500000000476120200000d-5	5-amino-6-(5-phospho-D-ribitylamino)uracil + H2O  ->  5-amino-6-(D-ribitylamino)uracil + phosphate
RXN-11319	5.000000001587068000000d-6	S-adenosyl-L-methionine + L-tyrosine + NADPH  ->  2-iminoacetate + 4-methylphenol + 5'-deoxyadenosine + L-methionine + NADP+ + H+
DXPREDISOM-RXN	1.5277499999780986000d-3	2-C-methyl-D-erythritol 4-phosphate + NADP+  <-->  1-deoxy-D-xylulose 5-phosphate + NADPH + H+
RXN-11475	5.000000000032756000000d-6	S-adenosyl-L-methionine + a malonyl-[acp]  ->  a malonyl-[acp] methyl ester + S-adenosyl-L-homocysteine
TRANS-RXN0-545	3.6056731329281524    	CO2[out]  <-->  CO2[in]
2-ISOPROPYLMALATESYN-RXN	1.653465000009646200d-2	3-methyl-2-oxobutanoate + acetyl-CoA + H2O  ->  (2S)-2-isopropylmalate + coenzyme A + H+
RXN-19020	5.000000001120775000000d-5	hydrogen peroxide[periplasm] + a menaquinol[inner membrane]  ->  a menaquinone[inner membrane] + 2 H2O[periplasm]
2.5.1.19-RXN	2.28291500001553300d-2	shikimate 3-phosphate + phosphoenolpyruvate  <-->  5-enolpyruvoyl-shikimate 3-phosphate + phosphate
GLUTDECARBOX-RXN	0.6441314365836577    	L-glutamate + H+  ->  CO2 + 4-aminobutanoate
RXN0-6562	1.2926823365848368    	3-phosphooxypyruvate + H2O  ->  hydroxypyruvate + phosphate
GLYRIBONUCSYN-RXN	1.349304999749456600d-2	ATP + 5-phospho-beta-D-ribosylamine + glycine  ->  ADP + N1-(5-phospho-beta-D-ribosyl)glycinamide + phosphate + H+
2PGADEHYDRAT-RXN	1.2926823365848368    	2-phospho-D-glycerate  <-->  phosphoenolpyruvate + H2O
GSAAMINOTRANS-RXN	1.20000000025655140000d-4	(S)-4-amino-5-oxopentanoate  ->  5-aminolevulinate
3-ISOPROPYLMALISOM-RXN	1.653465000009646200d-2	2-isopropylmaleate + H2O  <-->  (2S)-2-isopropylmalate
HISTOLDEHYD-RXN	5.303550000149926000d-3	histidinol + NAD+  <-->  histidinal + NADH + H+
